ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ARG,Argentina,Climate Watch,Industrial Processes,All GHG,MtCO₂e,31.13,28.78,28.24,27.29,26.11,24.61,23.97,22.95,22.4,21.22,20.83,19.63,17.3,15.52,13.56,11.37,8.88,7.92,7.08,6.11,6.44,6.31,6.41,5.99,5.46,4.26,4.0,4.35,4.23,4.13,4.0,3.8
NGA,Nigeria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,30.38,28.17,25.69,23.98,21.49,21.33,19.62,18.12,17.03,14.25,11.6,9.75,9.18,8.6,6.01,4.91,4.12,3.82,3.69,3.47,3.45,3.36,2.99,2.71,2.28,1.92,1.58,1.5,1.64,1.67,1.58,1.49
POL,Poland,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,30.01,28.82,31.22,31.45,30.94,28.4,27.63,29.02,28.83,29.05,30.17,29.23,27.65,31.71,35.86,33.58,33.68,38.19,37.53,38.36,40.43,45.7,45.65,53.58,64.19,67.96,63.35,48.8,47.75,36.76,39.69,42.88
KAZ,Kazakhstan,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,29.58,28.67,27.72,33.05,37.9,38.6,38.72,48.84,70.28,64.08,69.64,57.8,52.99,67.95,39.25,27.51,38.63,33.73,26.28,20.94,27.93,21.34,36.23,43.42,43.84,49.75,59.82,60.81,76.3,89.26,85.99,81.49
PRK,North Korea,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,28.42,34.98,36.47,32.11,37.22,12.95,12.8,20.12,17.55,26.44,27.51,39.43,40.72,44.72,40.1,49.04,47.88,45.44,44.42,43.36,45.19,43.24,40.88,37.44,40.37,41.35,48.7,53.25,59.92,65.0,75.55,78.43
ZAF,South Africa,Climate Watch,Industrial Processes,All GHG,MtCO₂e,26.19,24.2,23.65,22.74,21.83,21.11,19.91,19.06,18.71,18.12,17.79,17.86,17.41,16.2,15.38,14.24,13.0,11.8,11.47,10.75,9.72,9.29,9.44,9.65,10.05,10.08,10.16,9.29,8.56,7.94,7.67,7.4
MYS,Malaysia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,23.99,22.75,19.99,19.34,18.46,18.22,17.17,17.51,16.38,15.23,14.43,13.26,13.56,13.47,12.35,12.04,10.94,10.81,10.47,9.6,8.49,8.46,7.12,6.73,6.39,5.74,5.01,4.7,4.09,3.91,3.98,3.81
DEU,Germany,Climate Watch,Industrial Processes,All GHG,MtCO₂e,23.42,23.74,24.45,25.16,26.12,26.15,26.38,26.52,26.07,26.85,27.18,26.27,34.21,34.8,37.38,33.68,33.52,35.95,33.51,32.51,32.17,30.67,31.45,35.75,47.79,49.92,49.02,50.89,47.74,47.86,44.9,46.45
PHL,Philippines,Climate Watch,Industrial Processes,All GHG,MtCO₂e,22.43,20.13,20.67,19.4,17.49,15.08,14.22,12.63,11.65,10.61,8.97,8.37,7.78,7.07,6.84,6.36,7.49,6.6,6.47,6.58,4.57,5.93,6.07,6.11,6.78,5.71,4.8,4.37,3.66,3.09,3.19,2.94
KWT,Kuwait,Climate Watch,Industrial Processes,All GHG,MtCO₂e,22.31,21.19,19.71,17.88,16.22,14.78,12.81,11.51,10.38,8.97,7.73,6.45,5.91,5.57,4.88,4.31,3.73,3.77,3.35,3.11,2.71,2.67,2.43,2.07,2.0,1.67,1.32,0.86,0.58,0.51,0.25,0.5
NLD,Netherlands,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,22.27,22.36,22.48,23.3,23.88,23.31,21.45,21.16,21.41,22.2,21.34,22.2,21.0,22.06,24.01,23.85,23.06,23.34,23.78,23.62,23.12,23.31,24.4,23.02,24.19,25.68,24.49,25.72,26.13,26.6,27.1,28.6
CAN,Canada,Climate Watch,Industrial Processes,All GHG,MtCO₂e,22.01,21.83,22.2,21.88,21.63,20.77,20.05,18.78,18.76,19.21,18.04,17.36,17.1,20.26,19.94,20.34,22.15,22.59,20.09,20.04,19.22,20.42,20.31,23.57,26.77,27.6,27.13,27.16,24.94,26.75,28.49,29.1
ARG,Argentina,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,21.5,20.85,20.62,20.82,19.09,19.57,21.79,21.6,21.2,19.27,20.8,19.13,17.64,20.77,21.18,22.23,20.55,20.13,19.12,17.19,17.76,18.0,18.42,20.38,20.94,17.85,17.34,17.62,15.12,15.81,14.79,14.2
FRA,France,Climate Watch,Industrial Processes,All GHG,MtCO₂e,20.51,21.31,23.3,24.57,25.74,27.27,27.05,27.33,27.67,27.88,28.35,27.85,28.31,30.46,31.27,30.62,30.22,29.87,31.75,30.91,29.76,28.49,29.54,33.07,38.97,38.74,36.81,37.25,38.16,38.74,38.85,39.32
BGD,Bangladesh,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,20.03,17.82,18.23,16.87,18.23,15.45,13.49,10.59,10.82,10.25,9.26,9.21,8.19,7.04,6.01,5.32,4.72,4.13,5.51,4.81,4.44,3.05,2.85,2.87,3.64,2.97,3.33,1.9,1.47,1.5,1.52,2.32
DZA,Algeria,Climate Watch,Industrial Processes,All GHG,MtCO₂e,18.77,17.73,18.59,17.96,18.01,16.76,15.43,14.41,13.41,13.19,13.05,12.49,12.01,10.93,9.9,9.0,7.68,6.66,5.55,5.32,4.78,4.55,4.12,4.07,3.82,3.49,3.58,3.23,3.56,3.73,3.86,4.05
ITA,Italy,Climate Watch,Industrial Processes,All GHG,MtCO₂e,18.64,18.66,20.62,21.56,22.61,23.68,24.06,23.83,23.85,24.47,26.42,26.57,26.43,28.43,30.29,29.64,33.66,33.34,31.14,30.13,29.74,28.0,26.17,24.79,23.83,23.17,24.91,22.21,22.95,25.3,25.78,26.01
BEL,Belgium,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,18.29,17.18,18.13,19.07,18.57,19.34,18.71,19.04,18.99,17.52,17.81,19.3,16.75,18.69,18.54,20.02,20.78,22.2,25.13,24.7,30.83,29.23,27.95,27.18,26.17,25.03,24.9,26.69,24.73,26.83,29.09,28.2
QAT,Qatar,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,17.04,17.11,18.8,17.4,17.69,17.1,16.24,15.43,13.17,13.47,8.64,10.41,9.37,10.45,10.3,8.02,7.55,8.1,6.43,7.51,4.96,4.89,4.12,4.01,3.9,3.78,3.7,3.62,3.53,3.43,3.24,3.13
SGP,Singapore,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.95,15.87,15.24,14.62,13.99,13.36,12.73,12.2,11.66,11.12,10.58,10.05,10.06,10.08,10.1,10.11,10.13,10.24,10.34,10.45,10.56,10.66,10.25,9.83,9.42,9.0,8.59,6.96,5.33,3.69,2.06,0.43
IRQ,Iraq,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.9,16.2,15.33,13.76,9.75,8.88,7.31,6.58,7.24,6.16,5.84,4.79,4.25,3.86,2.99,2.42,2.04,1.84,1.59,3.39,3.08,3.08,2.6,1.34,1.12,0.98,1.09,1.03,1.01,1.0,2.22,4.31
